step_id,action,component,head_id,x_coord,y_coord
1,PICK,F,1,6,0
2,PICK,I,2,9,0
3,PICK,H,3,8,0
4,PLACE,I,2,11,2
5,PLACE,H,3,4,2
6,PLACE,F,1,4,1
7,PICK,F,1,6,0
8,PICK,E,2,5,0
9,PICK,H,3,8,0
10,PLACE,E,2,12,2
11,PLACE,H,3,8,2
12,PLACE,F,1,6,1
13,PICK,G,1,7,0
14,PICK,I,2,9,0
15,PICK,G,3,7,0
16,PLACE,G,3,10,3
17,PLACE,I,2,7,4
18,PLACE,G,1,2,2
19,PICK,G,1,7,0
20,PICK,I,2,9,0
21,PICK,H,3,8,0
22,PLACE,G,1,6,3
23,PLACE,I,2,5,6
24,PLACE,H,3,2,8
25,PICK,C,1,3,0
26,PICK,E,2,5,0
27,PICK,G,3,7,0
28,PLACE,C,1,7,3
29,PLACE,E,2,12,8
30,PLACE,G,3,6,9
31,PICK,G,1,7,0
32,PICK,I,2,9,0
33,PICK,B,3,2,0
34,PLACE,G,1,11,4
35,PLACE,I,2,9,9
36,PLACE,B,3,2,11
37,PICK,C,1,3,0
38,PICK,E,2,5,0
39,PICK,H,3,8,0
40,PLACE,H,3,6,11
41,PLACE,E,2,1,10
42,PLACE,C,1,3,8
43,PICK,C,1,3,0
44,PICK,I,2,9,0
45,PICK,B,3,2,0
46,PLACE,C,1,9,8
47,PLACE,B,3,9,12
48,PLACE,I,2,7,10
49,PICK,G,1,7,0
50,PICK,I,2,9,0
51,PLACE,I,2,10,11
52,PLACE,G,1,3,10
53,PICK,G,1,7,0
54,PICK,E,2,5,0
55,PLACE,G,1,11,10
56,PLACE,E,2,12,12
57,PICK,F,1,6,0
58,PLACE,F,1,5,12
59,PICK,C,1,3,0
60,PLACE,C,1,6,12
61,PICK,F,1,6,0
62,PLACE,F,1,10,12
