candidate_id,source_template,total_score,coverage_score,e_balance_score,workload_balance_score,feeder_order_score,specialization_score,estimated_workload_range,average_feeder_span,average_head_jump
C038,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C040,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C044,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C046,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C050,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C052,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C056,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C058,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C062,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C064,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C068,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C070,specialized_machine,88.92,100.0,100.0,88.0,67.08,85.0,6,7.33,0.3
C037,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C042,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C043,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C048,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C049,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C054,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C055,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C060,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C061,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C066,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C067,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C072,specialized_machine,88.85,100.0,100.0,88.0,66.73,85.0,6,7.33,0.33
C039,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C041,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C045,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C047,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C051,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C053,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C057,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C059,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C063,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C065,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C069,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C071,specialized_machine,88.76,100.0,100.0,88.0,66.3,85.0,6,7.33,0.36
C001,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C006,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C007,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C012,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C013,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C018,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C019,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C024,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C025,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C030,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C031,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C036,distributed_e,84.53,100.0,100.0,70.0,67.64,85.0,15,7.33,0.25
C003,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C005,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C009,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C011,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C015,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C017,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C021,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C023,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C027,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
