component_type,x_coord,y_coord
E,1,1
F,2,1
D,3,1
F,4,1
D,5,1
F,6,1
D,7,1
F,8,1
D,9,1
F,10,1
D,11,1
E,12,1
E,1,2
G,2,2
H,4,2
B,5,2
H,6,2
H,8,2
H,10,2
I,11,2
E,12,2
E,1,3
B,3,3
A,4,3
G,6,3
C,7,3
C,9,3
G,10,3
E,12,3
E,1,4
C,2,4
D,3,4
H,5,4
I,7,4
D,8,4
J,10,4
G,11,4
E,12,4
E,1,5
A,2,5
I,4,5
A,6,5
B,7,5
G,9,5
H,10,5
E,12,5
E,1,6
F,2,6
C,3,6
I,5,6
F,8,6
J,11,6
E,12,6
E,1,7
B,2,7
D,4,7
C,6,7
B,7,7
J,9,7
J,10,7
E,12,7
E,1,8
H,2,8
C,3,8
G,5,8
H,7,8
A,8,8
C,9,8
H,11,8
E,12,8
E,1,9
C,2,9
A,4,9
G,6,9
I,9,9
D,10,9
E,12,9
E,1,10
G,3,10
F,4,10
B,5,10
I,7,10
G,9,10
G,11,10
E,12,10
E,1,11
B,2,11
C,4,11
H,6,11
J,8,11
I,10,11
E,12,11
E,1,12
C,2,12
D,3,12
F,5,12
C,6,12
D,7,12
B,9,12
F,10,12
G,11,12
E,12,12
