step_id,action,component,head_id,x_coord,y_coord
1,PICK,F,1,6,0
2,PICK,H,2,8,0
3,PICK,E,3,5,0
4,PLACE,H,2,6,2
5,PLACE,F,1,2,1
6,PLACE,E,3,1,1
7,PICK,F,1,6,0
8,PICK,H,2,8,0
9,PICK,E,3,5,0
10,PLACE,F,1,8,1
11,PLACE,H,2,10,2
12,PLACE,E,3,1,4
13,PICK,F,1,6,0
14,PICK,C,2,3,0
15,PICK,J,3,10,0
16,PLACE,F,1,10,1
17,PLACE,J,3,10,4
18,PLACE,C,2,9,3
19,PICK,G,1,7,0
20,PICK,H,2,8,0
21,PICK,E,3,5,0
22,PLACE,E,3,12,4
23,PLACE,G,1,9,5
24,PLACE,H,2,5,4
25,PICK,F,1,6,0
26,PICK,H,2,8,0
27,PICK,E,3,5,0
28,PLACE,H,2,10,5
29,PLACE,F,1,2,6
30,PLACE,E,3,1,5
31,PICK,F,1,6,0
32,PICK,C,2,3,0
33,PICK,J,3,10,0
34,PLACE,J,3,11,6
35,PLACE,F,1,8,6
36,PLACE,C,2,6,7
37,PICK,G,1,7,0
38,PICK,H,2,8,0
39,PICK,E,3,5,0
40,PLACE,E,3,12,6
41,PLACE,H,2,7,8
42,PLACE,G,1,5,8
43,PICK,F,1,6,0
44,PICK,H,2,8,0
45,PICK,J,3,10,0
46,PLACE,H,2,11,8
47,PLACE,J,3,9,7
48,PLACE,F,1,4,10
49,PICK,G,1,7,0
50,PICK,C,2,3,0
51,PICK,J,3,10,0
52,PLACE,J,3,10,7
53,PLACE,G,1,9,10
54,PLACE,C,2,2,12
55,PICK,G,1,7,0
56,PICK,E,3,5,0
57,PLACE,E,3,12,7
58,PLACE,G,1,11,12
59,PICK,E,3,5,0
60,PLACE,E,3,1,9
61,PICK,E,3,5,0
62,PLACE,E,3,12,10
63,PICK,J,3,10,0
64,PLACE,J,3,8,11
